ImageId,EncodedPixels
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,45103 10 45359 11 45613 14 45869 14 46125 14 46381 14 46637 13 46893 12 47150 9 47407 7
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,50278 10 50533 12 50788 13 51043 15 51298 16 51553 17 51809 17 52065 17 52321 17 52577 17 52833 16 53089 16 53345 15 53602 13 53859 10 54117 6
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,10892 6 11147 8 11401 11 11656 12 11911 13 12166 14 12421 15 12677 14 12933 14 13189 14 13445 12 13701 12 13957 11 14213 10 14471 6
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,30878 1 31133 4 31377 4 31388 5 31631 7 31644 6 31884 13 31899 8 32139 15 32155 8 32393 25 32649 25 32904 19 32925 4 33159 20 33415 20 33671 19 33927 19 34183 18 34439 17 34695 16 34951 14 35208 13 35466 8 35724 4
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,50841 6 51096 7 51350 10 51605 12 51860 13 52115 13 52371 13 52626 13 52881 14 53137 13 53393 12 53649 12 53905 10 54161 10 54417 8 54674 6
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,38564 5 38819 7 39073 10 39328 11 39582 13 39837 14 40093 14 40349 14 40605 13 40861 12 41117 12 41374 11 41631 9 41887 8 42145 4
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,48788 3 49307 6 49826 6 50345 7 50864 7 51382 8 51902 7 52421 8 52940 8 53459 9 53978 9 54497 9 55016 9 55536 8 56055 8 56574 8 57093 7 57612 7 58131 6 58650 6 59170 4 59691 1
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,118854 5 119372 6 119891 6 120410 7 120929 7 121448 7 121967 7 122485 8 123004 9 123523 9 124042 9 124561 9 125080 9 125599 9 126118 9 126637 9 127156 9 127675 9 128194 9 128714 7 129233 7 129752 6
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,86161 1 86679 3 87198 3 87717 3 88236 5 88756 4 89275 1 89794 1 90314 4 90835 2
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,24420 2 24936 10 25452 15 25969 18 26486 20 27004 22 27521 24 28039 25 28557 26 29076 26 29594 27 30112 28 30631 28 31149 29 31668 29 32187 29 32706 29 33225 28 33744 28 34263 27 34783 24 35302 24 35822 22 36342 20 36861 18 37381 16 37901 12 38422 8
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,50881 5 51399 7 51918 10 52437 11 52956 11 53474 12 53993 13 54512 15 55031 16 55552 14 56072 13 56593 12 57112 12 57631 12 58150 13 58669 13 59189 12 59708 12 60227 12 60746 12 61266 12 61785 12 62304 12 62822 13 63342 12 63861 12 64381 10 64900 10 65419 10 65938 11 66458 10 66977 10 67496 11 68015 11 68535 11 69055 12 69574 13 70093 13 70613 13 71133 12 71652 14 72171 15 72690 15 73209 16 73728 18 74246 22 74765 30 75283 33 75801 13 75819 17 76319 10 76340 16 76836 10 76861 16 77354 10 77382 14 77874 9 77901 15 78394 7 78420 3 78425 11 78912 8 78939 2 78945 10 79430 9 79458 2 79464 11 79951 6 79983 11 80470 5 80502 12 80987 9 81022 11 81506 9 81541 12 82029 1 82061 11 82580 12 83098 13 83617 13 84136 14 84654 16 85170 19 85685 23 86201 26 86719 27 87238 27 87756 28 88274 29 88790 32 89307 34 89825 35 90344 35 90863 35 91381 36 91877 2 91900 17 91920 16 92395 5 92416 20 92440 16 92914 12 92930 24 92959 17 93434 39 93480 16 93953 38 93998 18 94472 37 94516 20 94992 36 95035 21 95511 36 95556 21 96031 34 96073 24 96550 34 96591 26 97070 33 97110 27 97590 32 97627 30 98109 32 98147 1 98151 26 98628 32 98670 26 99147 32 99189 27 99667 31 99703 33 100186 31 100222 34 100704 33 100742 35 101224 73 101743 40 101784 33 102262 74 102780 76 103300 75 103820 74 104340 74 104860 74 105380 73 105899 74 106421 73 106941 74 107461 75 107981 75 108502 75 109023 38 109064 34 109544 40 109585 33 110065 37 110105 33 110586 35 110624 34 111107 32 111144 34 111627 32 111664 34 112148 30 112184 35 112248 7 112667 30 112703 36 112764 18 113186 32 113219 40 113280 24 113707 72 113797 27 114226 73 114315 30 114746 73 114833 32 115267 71 115351 34 115787 70 115870 34 116307 69 116389 35 116826 70 116907 36 117345 72 117425 37 117865 71 117945 36 118385 71 118464 36 118904 72 118982 37 119424 71 119501 37 119943 71 120020 36 120462 71 120540 35 120982 72 121060 33 121501 72 121579 31 122020 73 122098 29 122540 72 122614 28 123061 42 123110 35 123580 42 123630 33 124100 40 124150 32 124620 39 124670 31 125138 40 125189 31 125657 39 125710 30 126177 38 126234 26 126697 31 126755 24 127217 25 127277 23 127738 17 127799 21 128258 15 128327 12 128778 10 128849 10 129298 10 129367 11 129820 6 129885 13 130404 12 130931 2
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,73202 1
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,117329 1 117845 9 118362 13 118880 16 119397 19 119916 20 120434 22 120953 22 121472 23 121991 23 122510 23 123028 24 123547 24 124066 24 124585 24 125104 24 125623 24 126142 24 126661 23 127180 23 127700 21 128219 21 128738 20 129257 20 129777 18 130299 13 130823 5
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,6279 4 6796 8 7313 12 7831 15 8350 15 8869 16 9387 17 9906 17 10425 18 10943 20 11461 22 11980 23 12498 24 13017 24 13536 24 14055 24 14574 24 15093 24 15612 24 16131 24 16650 23 17169 23 17688 22 18208 20 18727 19 19246 19 19766 18 20285 18 20804 17 21324 15 21843 14 22362 13 22882 12 23402 9 23924 3
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,28604 14 29121 17 29638 21 30156 24 30674 25 31193 25 31711 26 32229 27 32747 28 33266 28 33785 27 34303 28 34822 26 35341 25 35860 25 36379 24 36898 22 37416 22 37935 22 38454 21 38974 19 39493 18 40013 16 40532 15 41054 9
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,46265 13 46783 16 47300 20 47818 22 48337 23 48855 25 49373 26 49891 27 50410 27 50929 27 51447 28 51966 28 52486 26 53005 25 53524 24 54044 22 54565 19 55087 13
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,9416 7 9935 8 10453 10 10972 11 11490 14 12009 14 12527 15 13046 15 13566 15 14085 15 14604 15 15124 15 15643 16 16162 16 16682 16 17201 16 17720 16 18239 16 18759 15 19278 15 19798 15 20317 15 20837 14 21356 14 21876 13 22395 13 22914 12 23435 10 23956 7
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,63409 7 63927 11 64444 14 64961 17 65480 17 65999 18 66517 20 67036 21 67554 22 68072 23 68591 23 69109 24 69628 24 70147 25 70666 25 71185 25 71704 25 72223 25 72742 25 73261 25 73780 24 74300 23 74819 23 75339 22 75858 22 76378 21 76897 20 77416 19 77936 17 78455 17 78975 15 79494 14 80015 10 80536 7
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,1125 5 1645 3
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,93544 11 94062 14 94581 15 95099 17 95618 17 96136 19 96655 20 97174 20 97694 20 98212 21 98731 22 99250 22 99770 21 100289 22 100808 22 101327 23 101846 24 102366 23 102885 23 103405 21 103925 20 104445 18 104965 16 105487 13 106008 10 106530 4
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,20908 9 21426 12 21944 14 22462 16 22980 19 23498 20 24002 4 24017 20 24518 10 24536 21 25035 13 25055 22 25554 14 25574 23 26073 16 26093 24 26592 16 26611 25 27111 17 27130 25 27629 45 28148 45 28667 45 29186 45 29705 46 30224 46 30743 46 31263 44 31782 44 32301 44 32820 21 32843 21 33340 20 33365 18 33860 19 33885 17 34380 18 34405 15 34899 18 34926 11 35419 17 35447 7 35938 17 36458 16 36979 14 37499 12 38021 8
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,49962 6 50478 11 50995 14 51512 16 52030 18 52548 20 53066 22 53584 23 54103 23 54621 24 55139 25 55658 24 56176 24 56694 25 57213 25 57732 24 58251 24 58770 24 59289 23 59808 23 60327 22 60846 21 61365 20 61883 21 62403 20 62922 19 63441 19 63960 18 64481 15 65001 13 65521 11 66040 8 66564 1
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,128 22 646 25 1165 25 1684 26 2203 25 2722 25 3242 24 3762 23 4282 22 4801 21 5321 20 5840 20 6360 19 6881 17 7401 15 7921 12 8442 8 8964 1
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,81145 10 81663 12 82181 15 82700 16 83218 17 83737 17 84255 19 84773 20 85292 20 85811 20 86330 20 86849 21 87368 21 87887 21 88406 21 88925 20 89444 20 89951 8 89961 22 90467 35 90984 36 91500 39 92018 40 92537 38 93055 37 93574 34 94092 33 94611 32 95130 31 95649 31 96169 30 96688 30 97208 29 97727 29 98246 29 98765 29 99285 27 99805 26 100325 25 100845 22 101365 20 101887 16 102407 14 102933 3
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,168 13 685 17 1204 19 1723 20 2243 19 2762 20 3281 20 3800 20 4319 21 4839 20 5359 20 5879 20 6398 20 6918 20 7437 20 7957 19 8476 19 8996 18 9517 16 10036 15 10556 13 11076 11 11597 8 12117 6
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,57274 6 57789 14 58307 16 58824 19 59342 20 59861 21 60379 23 60898 24 61417 24 61935 25 62454 25 62973 26 63491 26 64010 26 64529 26 65049 23 65568 22 66087 21 66607 19 67127 15 67647 12 68169 4
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,89477 7 89994 11 90511 15 91029 17 91548 19 92066 21 92585 21 93104 22 93623 22 94142 24 94661 25 95180 25 95699 25 96218 26 96737 26 97256 26 97775 27 98295 27 98814 27 99333 27 99853 26 100373 25 100893 24 101413 23 101932 22 102451 21 102971 20 103492 18 104012 16 104533 13 105055 9
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,34994 5 35511 9 36028 13 36546 15 37065 16 37583 17 38102 17 38621 18 39139 19 39658 20 40176 22 40694 23 41213 23 41732 23 42251 22 42770 22 43288 22 43807 21 44326 21 44845 20 45364 20 45884 18 46403 17 46923 15 47445 9 47969 1
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,63536 8 64053 12 64572 12 65090 14 65608 15 66126 17 66644 19 67163 20 67682 20 68201 20 68720 20 69239 20 69758 20 70277 20 70796 20 71315 20 71834 20 72353 20 72872 20 73391 20 73910 20 74429 20 74948 20 75467 20 75986 20 76505 20 77024 20 77543 20 78062 20 78581 20 79100 19 79619 19 80139 18 80659 16 81179 14 81698 13 82218 12 82737 11 83259 5
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,228 24 745 28 1263 31 1781 32 2300 32 2820 31 3339 31 3858 31 4378 30 4898 29 5417 29 5936 29 6455 29 6975 28 7494 28 8013 28 8532 27 9052 26 9571 25 10091 23 10611 22 11130 21 11650 20 12169 19 12688 17 13209 14 13730 11 14251 6
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,113915 5 114432 9 114950 12 115467 15 115985 16 116503 18 117021 19 117539 20 118057 21 118574 23 119092 24 119610 25 120128 26 120645 28 121163 29 121682 30 122201 30 122719 31 123238 32 123757 34 124275 40 124794 42 125313 44 125832 46 126351 47 126870 47 127390 48 127909 49 128429 48 128948 49 129468 48 129988 47 130518 35 131042 29
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,28790 3 29306 13 29824 16 30342 18 30861 20 31380 21 31899 21 32418 22 32938 22 33457 23 33976 23 34496 23 35015 23 35534 23 36054 22 36573 22 37093 21 37612 21 38131 21 38650 20 39169 20 39689 18 40210 14 40730 12 41250 9 41773 2
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,84331 3 84846 11 85363 16 85880 19 86399 21 86917 23 87436 24 87955 25 88474 25 88993 26 89512 27 90031 27 90550 27 91070 27 91589 27 92109 25 92629 23 93149 22 93668 21 94188 20 94709 18 95230 15 95753 8
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,52688 3 53202 12 53718 19 54236 21 54753 25 55271 27 55790 28 56308 30 56827 32 57346 32 57864 34 58383 34 58902 34 59421 34 59941 34 60460 34 60979 34 61498 34 62018 33 62537 32 63056 32 63577 30 64097 28 64618 25 65139 21 65660 18 66182 12
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,24167 10 24684 15 25201 19 25718 22 26235 24 26754 24 27272 26 27790 27 28308 28 28826 30 29345 30 29864 30 30383 30 30902 30 31420 30 31939 30 32458 30 32977 30 33496 30 34015 29 34535 28 35054 28 35573 27 36093 25 36613 23 37133 21 37653 19 38174 15 38696 10
